pattern_source,dimension,capacity,load_ratio,noise,repeats,trials,correct,accuracy,accuracy_ci95_low,accuracy_ci95_high,latency_p50_ms,latency_p95_ms,storage_mib
text,128,64,0.5,1.0,10,160,2,0.0125,0.0034345991561011736,0.04442626157768072,0.13052350000000001,0.1404916499999998,0.09375
text,128,64,0.5,1.5,10,160,2,0.0125,0.0034345991561011736,0.04442626157768072,0.1305705,0.13430335,0.09375
text,256,26,0.1,0.0,10,160,7,0.04375,0.02135133953480136,0.08754408140835349,0.168755,0.2406207,0.275390625
text,256,26,0.1,0.5,10,160,6,0.0375,0.01729768727039704,0.0793908216308832,0.1663705,0.23803085,0.275390625
text,256,26,0.1,1.0,10,160,7,0.04375,0.02135133953480136,0.08754408140835349,0.1661105,0.24756539999999994,0.275390625
text,256,26,0.1,1.5,10,160,6,0.0375,0.01729768727039704,0.0793908216308832,0.165928,0.17062404999999997,0.275390625
text,256,51,0.2,0.0,10,160,4,0.025,0.009763834597428894,0.06251085022010217,0.1684985,0.18674349999999998,0.2998046875
text,256,51,0.2,0.5,10,160,4,0.025,0.009763834597428894,0.06251085022010217,0.16734,0.22948074999999815,0.2998046875
text,256,51,0.2,1.0,10,160,4,0.025,0.009763834597428894,0.06251085022010217,0.1665645,0.2727824499999997,0.2998046875
text,256,51,0.2,1.5,10,160,4,0.025,0.009763834597428894,0.06251085022010217,0.166542,0.1717962,0.2998046875
text,256,77,0.3,0.0,10,160,4,0.025,0.009763834597428894,0.06251085022010217,0.364408,0.7388834999999999,0.3251953125
text,256,77,0.3,0.5,10,160,4,0.025,0.009763834597428894,0.06251085022010217,0.34725249999999996,0.7828614999999999,0.3251953125
text,256,77,0.3,1.0,10,160,4,0.025,0.009763834597428894,0.06251085022010217,0.3596735,0.7324231999999998,0.3251953125
text,256,77,0.3,1.5,10,160,4,0.025,0.009763834597428894,0.06251085022010217,0.3481075,0.7262494999999995,0.3251953125
text,256,102,0.4,0.0,10,160,1,0.00625,0.00110410335439148,0.03454984533751582,0.3093085,0.6440491500000001,0.349609375
text,256,102,0.4,0.5,10,160,1,0.00625,0.00110410335439148,0.03454984533751582,0.3065635,0.7133487999999998,0.349609375
text,256,102,0.4,1.0,10,160,1,0.00625,0.00110410335439148,0.03454984533751582,0.3124825,0.6435827,0.349609375
text,256,102,0.4,1.5,10,160,1,0.00625,0.00110410335439148,0.03454984533751582,0.31155350000000004,0.6611462499999997,0.349609375
text,256,128,0.5,0.0,10,160,1,0.00625,0.00110410335439148,0.03454984533751582,0.27608849999999996,0.6064104999999997,0.375
text,256,128,0.5,0.5,10,160,1,0.00625,0.00110410335439148,0.03454984533751582,0.272601,0.5815566999999999,0.375
text,256,128,0.5,1.0,10,160,1,0.00625,0.00110410335439148,0.03454984533751582,0.2728845,0.5879899,0.375
text,256,128,0.5,1.5,10,160,1,0.00625,0.00110410335439148,0.03454984533751582,0.27490800000000004,0.5819683,0.375
