pattern_source,retrieval_mode,dimension,capacity,load_ratio,noise,repeats,trials,correct,accuracy,accuracy_ci95_low,accuracy_ci95_high,latency_p50_ms,latency_p95_ms,storage_mib
text,modern,256,26,0.1,1.5,10,160,159,0.99375,0.9654501546624841,0.9988958966456083,0.0681515,0.0964966,0.275390625
text,modern,256,51,0.2,0.0,10,160,160,1.0,0.9765529633499672,1.0,0.082659,0.12261699999999999,0.2998046875
text,modern,256,51,0.2,0.5,10,160,160,1.0,0.9765529633499672,1.0,0.080183,0.11218220000000001,0.2998046875
text,modern,256,51,0.2,1.0,10,160,160,1.0,0.9765529633499672,1.0,0.0788385,0.10506679999999999,0.2998046875
text,modern,256,51,0.2,1.5,10,160,160,1.0,0.9765529633499672,1.0,0.0755815,0.1050739,0.2998046875
text,modern,256,77,0.3,0.0,10,160,160,1.0,0.9765529633499672,1.0,0.096681,0.17343274999999994,0.3251953125
text,modern,256,77,0.3,0.5,10,160,160,1.0,0.9765529633499672,1.0,0.0938695,0.10159460000000001,0.3251953125
text,modern,256,77,0.3,1.0,10,160,160,1.0,0.9765529633499672,1.0,0.0936665,0.10051645,0.3251953125
text,modern,256,77,0.3,1.5,10,160,160,1.0,0.9765529633499672,1.0,0.09433649999999999,0.10085134999999999,0.3251953125
text,modern,256,102,0.4,0.0,10,160,160,1.0,0.9765529633499672,1.0,0.109141,0.1517187,0.349609375
text,modern,256,102,0.4,0.5,10,160,160,1.0,0.9765529633499672,1.0,0.106865,0.11108244999999999,0.349609375
text,modern,256,102,0.4,1.0,10,160,160,1.0,0.9765529633499672,1.0,0.1063765,0.11205999999999999,0.349609375
text,modern,256,102,0.4,1.5,10,160,160,1.0,0.9765529633499672,1.0,0.106309,0.110498,0.349609375
text,modern,256,128,0.5,0.0,10,160,160,1.0,0.9765529633499672,1.0,0.1242435,0.16860694999999998,0.375
text,modern,256,128,0.5,0.5,10,160,160,1.0,0.9765529633499672,1.0,0.12060850000000001,0.12665754999999998,0.375
text,modern,256,128,0.5,1.0,10,160,160,1.0,0.9765529633499672,1.0,0.120867,0.1277388,0.375
text,modern,256,128,0.5,1.5,10,160,160,1.0,0.9765529633499672,1.0,0.120462,0.12495265,0.375
