dimension,capacity,load_ratio,noise,repeats,trials,correct,accuracy,accuracy_ci95_low,accuracy_ci95_high,latency_p50_ms,latency_p95_ms,storage_mib
64,13,0.2,0.0,10,130,118,0.9076923076923077,0.8455738628732411,0.9464071056746542,0.118061,0.13137125,0.018798828125
64,13,0.2,0.5,10,130,114,0.8769230769230769,0.8094044561878863,0.9228043637903566,0.11649000000000001,0.1288291,0.018798828125
64,13,0.2,1.0,10,130,105,0.8076923076923077,0.7315091400018356,0.8662123456946893,0.116117,0.12437695,0.018798828125
64,13,0.2,1.5,10,130,77,0.5923076923076923,0.506362966608373,0.6729534791005846,0.1157715,0.1202119,0.018798828125
64,19,0.3,0.0,10,160,125,0.78125,0.7110115967895942,0.8382994450947623,0.12330749999999999,0.13444089999999997,0.020263671875
64,19,0.3,0.5,10,160,116,0.725,0.651149022400604,0.7882998111068811,0.120536,0.1317194,0.020263671875
64,19,0.3,1.0,10,160,99,0.61875,0.5415420671016985,0.6903892616939188,0.120072,0.1299779,0.020263671875
64,19,0.3,1.5,10,160,71,0.44375,0.368981375420442,0.5211564162026865,0.119522,0.12948015000000002,0.020263671875
64,26,0.4,0.0,10,160,75,0.46875,0.39306676250273337,0.5458986772878935,0.12034049999999999,0.1300473,0.02197265625
64,26,0.4,0.5,10,160,65,0.40625,0.33321177488472786,0.48368454448715315,0.11915,0.12166149999999999,0.02197265625
64,26,0.4,1.0,10,160,65,0.40625,0.33321177488472786,0.48368454448715315,0.1187355,0.12088934999999999,0.02197265625
64,26,0.4,1.5,10,160,42,0.2625,0.20046534399003782,0.33567199841872775,0.1185325,0.1208981,0.02197265625
64,32,0.5,0.0,10,160,72,0.45,0.3749849776836161,0.5273597259813871,0.119714,0.13315839999999998,0.0234375
64,32,0.5,0.5,10,160,70,0.4375,0.36298967596179843,0.5149412036194556,0.1187905,0.1222042,0.0234375
64,32,0.5,1.0,10,160,61,0.38125,0.3096107383060811,0.4584579328983015,0.1186185,0.12275885,0.0234375
64,32,0.5,1.5,10,160,50,0.3125,0.24578530120802664,0.3880073375357356,0.11868999999999999,0.1209333,0.0234375
64,38,0.6,0.0,10,160,84,0.525,0.4479452137471758,0.6008824344203225,0.1199355,0.13095985,0.02490234375
64,38,0.6,0.5,10,160,74,0.4625,0.38702770939000536,0.539730818358747,0.11890500000000001,0.1230139,0.02490234375
64,38,0.6,1.0,10,160,61,0.38125,0.3096107383060811,0.4584579328983015,0.11870900000000001,0.12286185,0.02490234375
64,38,0.6,1.5,10,160,48,0.3,0.23436254021925296,0.37501627444076,0.1185225,0.12182275,0.02490234375
64,51,0.8,0.0,10,160,56,0.35,0.28039680852544535,0.42663730246956433,0.12011250000000001,0.1346654,0.028076171875
64,51,0.8,0.5,10,160,53,0.33125,0.2630282728403034,0.4073851020290825,0.119186,0.12182045000000001,0.028076171875
64,51,0.8,1.0,10,160,37,0.23125,0.17268254006735462,0.30242024213203794,0.11881749999999999,0.12424519999999993,0.028076171875
64,51,0.8,1.5,10,160,20,0.125,0.08239390208929147,0.185191375398233,0.1187385,0.13082844999999999,0.028076171875
64,64,1.0,0.0,10,160,54,0.3375,0.26880408823180274,0.4138161986794579,0.119076,0.1320941,0.03125
64,64,1.0,0.5,10,160,50,0.3125,0.24578530120802664,0.3880073375357356,0.11874,0.12249074999999998,0.03125
64,64,1.0,1.0,10,160,29,0.18125,0.1292648458999903,0.2481826399644055,0.118448,0.12741049999999998,0.03125
64,64,1.0,1.5,10,160,21,0.13125,0.08747218158850315,0.19232000794089596,0.1180945,0.1244443,0.03125
